EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-2-4,36,32,28,31,28,25,100,85,64,30.39,30.32,30.21,10,7,2,7,0,8,0.02,7,Rain,43
2008-2-5,41,36,31,40,35,30,100,98,89,30.16,29.90,29.75,4,2,0,10,3,14,1.03,8,Fog-Rain-Snow-Thunderstorm,191
2008-2-6,38,33,28,37,30,24,100,93,82,29.84,29.68,29.57,10,4,0,18,8,25,0.80,8,Fog-Rain-Snow,23
2008-2-7,29,26,23,27,23,17,100,91,74,30.01,29.70,29.54,10,5,1,17,5,20,0.24,8,Rain-Snow,42
2008-2-8,28,23,18,25,22,17,100,88,75,30.06,30.02,29.94,10,7,1,8,1,10,0.00,7,,195
2008-2-9,33,26,19,32,27,19,100,94,85,30.08,29.94,29.73,4,2,0,8,1,12,0.27,7,Fog-Snow,154
2008-2-10,34,21,8,32,24,-3,100,82,47,29.92,29.61,29.48,10,4,0,28,9,40,0.12,6,Fog-Snow,228
2008-2-11,21,8,-5,3,-2,-8,79,57,45,30.37,30.15,29.93,10,10,9,24,9,32,0.00,3,,266
2008-2-12,16,2,-13,12,2,-15,88,76,53,30.49,30.34,30.12,10,6,1,6,1,8,0.24,3,Snow,27
2008-2-13,34,24,14,32,26,10,100,92,80,30.12,29.73,29.59,10,5,2,15,5,21,0.92,8,Rain-Snow,350
2008-2-14,29,23,17,23,18,10,100,81,68,30.12,30.03,29.81,10,9,5,16,6,22,T,4,,314
2008-2-15,36,26,16,29,19,3,88,72,47,30.24,30.04,29.93,10,10,7,22,9,30,T,4,Snow,224
2008-2-16,24,11,-3,12,4,-5,91,71,51,30.38,30.34,30.26,10,10,10,13,4,16,0.00,1,,185
2008-2-17,38,19,-1,37,20,-3,96,84,58,30.32,30.06,29.73,10,8,4,18,5,25,0.36,6,Rain,209
2008-2-18,53,44,35,50,42,23,100,91,54,29.70,29.51,29.43,10,5,0,17,7,22,0.24,8,Fog-Rain,223
2008-2-19,36,29,21,22,14,6,75,56,33,29.92,29.76,29.65,10,9,1,24,10,32,T,4,Snow,252
2008-2-20,26,16,5,12,7,3,92,65,46,30.22,30.05,29.94,10,10,4,17,6,26,T,2,Snow,238
2008-2-21,26,13,-1,6,1,-4,95,60,29,30.43,30.36,30.24,10,10,10,17,5,24,0.00,0,,286
2008-2-22,27,19,10,23,17,7,88,86,73,30.34,30.10,29.90,10,4,0,9,3,12,0.13,7,Fog-Snow,14
2008-2-23,28,18,7,20,16,6,88,78,63,30.12,30.00,29.91,10,9,2,12,5,15,T,6,Snow,20
2008-2-24,35,17,-2,20,11,-5,95,70,53,30.17,30.08,30.00,10,10,6,20,6,24,0.00,0,,173
2008-2-25,42,24,5,23,15,1,92,75,48,29.99,29.92,29.84,10,7,2,15,3,18,0.00,0,,169
2008-2-26,32,24,15,32,27,14,100,94,85,29.88,29.62,29.30,6,2,0,10,3,14,0.74,7,Fog-Snow,14
2008-2-27,32,23,13,31,21,4,92,86,67,29.80,29.49,29.28,10,4,1,18,9,22,0.04,8,Snow,42
2008-2-28,20,6,-9,7,0,-12,79,61,45,30.43,30.10,29.82,10,10,10,10,4,14,0.00,3,,332
2008-2-29,20,0,-20,16,2,-22,92,75,49,30.61,30.41,30.19,10,6,0,10,2,13,0.13,3,Fog-Snow,161
2008-3-1,38,28,18,28,20,13,92,83,56,30.14,29.92,29.82,10,5,0,24,5,36,0.52,7,Fog-Snow,313
2008-3-2,36,21,6,15,11,5,84,58,32,30.33,30.22,30.03,10,10,10,17,5,21,0.00,1,,337
2008-3-3,46,25,4,32,20,1,92,68,43,30.32,30.09,29.84,10,10,10,16,5,20,0.01,3,,214
2008-3-4,43,37,30,39,31,27,93,87,69,30.03,29.95,29.80,10,7,2,14,6,16,0.39,7,Rain,339
2008-3-5,41,36,31,39,31,21,100,84,61,30.02,29.65,29.38,10,7,1,25,9,36,1.76,8,Rain,286
2008-3-6,41,31,20,25,21,19,92,71,41,30.28,30.18,30.05,10,10,9,14,3,17,0.00,1,,162
2008-3-7,48,32,15,36,27,14,92,80,38,30.32,30.08,29.82,10,7,2,10,2,15,0.53,4,Rain,7
2008-3-8,38,35,31,36,32,25,100,94,85,29.82,29.57,29.10,10,6,2,30,9,45,1.22,8,Rain,7
2008-3-9,35,28,20,19,14,8,63,59,43,30.33,29.90,29.43,10,9,2,30,13,45,T,7,Snow,260
2008-3-10,33,21,8,11,8,5,91,56,36,30.40,30.31,30.23,10,10,10,13,4,16,0.00,0,,274
2008-3-11,37,22,6,21,13,4,87,67,35,30.25,30.08,29.81,10,10,10,17,4,21,0.00,1,,179
2008-3-12,38,31,24,32,24,12,96,76,52,29.95,29.70,29.60,10,7,1,21,7,31,0.02,6,Snow,335
2008-3-13,31,23,14,21,10,4,75,55,34,30.10,29.97,29.86,10,10,10,17,4,21,0.00,3,,11
2008-3-14,45,38,30,33,28,22,100,70,53,29.88,29.82,29.77,10,9,4,10,4,13,0.04,5,Rain,182
2008-3-15,41,36,30,36,34,32,100,93,79,29.84,29.76,29.69,10,6,2,10,2,14,0.16,8,Rain,21
2008-3-16,40,34,28,34,29,15,100,86,53,30.31,29.94,29.81,10,6,0,23,8,29,T,6,Fog-Rain-Snow,6
2008-3-17,34,25,16,15,12,11,80,55,41,30.61,30.53,30.33,10,10,10,15,8,20,0.00,2,,27
2008-3-18,38,25,12,31,19,7,92,71,32,30.57,30.37,30.17,10,8,1,16,2,21,0.05,4,Rain-Snow,182
2008-3-19,37,34,31,36,34,30,100,97,89,30.17,29.76,29.41,10,3,1,15,2,20,0.79,8,Rain-Snow,9
2008-3-20,43,36,29,36,31,18,100,86,49,29.78,29.52,29.34,10,8,1,25,8,33,0.12,8,Rain-Snow,323
2008-3-21,34,27,20,14,6,0,60,43,25,29.99,29.93,29.81,10,10,10,26,12,37,0.00,1,,286
2008-3-22,40,28,16,10,4,0,62,36,20,30.03,29.94,29.87,10,10,10,17,6,23,0.00,0,,275
2008-3-23,38,27,16,12,4,-4,74,42,25,30.26,30.14,30.04,10,10,10,12,2,16,0.00,0,,342
2008-3-24,40,27,13,19,14,10,92,61,30,30.33,30.27,30.20,10,10,10,15,4,22,0.00,2,,216
2008-3-25,42,27,12,25,13,10,96,57,28,30.36,30.21,29.97,10,10,10,26,6,37,0.00,1,,181
2008-3-26,49,38,26,36,25,12,85,59,28,30.06,29.93,29.86,10,10,7,23,9,30,T,5,Snow,219
2008-3-27,48,34,20,36,24,18,92,63,38,30.09,30.03,29.96,10,10,10,17,6,23,0.01,4,Rain,219
2008-3-28,34,26,18,36,29,20,100,92,85,30.17,29.96,29.87,10,3,0,13,6,15,0.45,8,Fog-Rain-Snow,21
2008-3-29,33,23,13,18,9,3,96,64,29,30.63,30.35,30.15,10,7,0,22,10,29,0.00,1,Fog,325
2008-3-30,40,25,10,20,10,4,92,54,30,30.78,30.69,30.63,10,10,10,12,2,17,0.00,0,,31
2008-3-31,40,30,20,39,32,15,100,89,47,30.62,30.33,30.12,10,5,0,13,5,20,0.17,7,Fog-Rain,207
2008-4-1,65,51,36,58,44,30,100,92,60,30.11,29.84,29.60,10,4,0,23,8,37,0.22,7,Fog-Rain,235
2008-4-2,42,33,24,26,12,1,59,41,20,30.46,30.24,29.90,10,10,10,26,11,38,0.00,3,,291
2008-4-3,51,35,19,21,14,9,77,44,19,30.53,30.40,30.25,10,10,8,18,7,25,0.00,0,,192
2008-4-4,39,36,34,37,35,20,100,93,46,30.25,29.86,29.72,10,3,2,9,5,,0.14,7,Rain,344
2008-4-5,54,44,33,41,36,32,100,86,46,30.22,29.88,29.71,10,7,2,17,5,24,0.03,6,Rain,5
2008-4-6,53,43,32,35,33,30,92,71,54,30.41,30.32,30.23,10,10,10,15,8,22,0.00,4,,61
2008-4-7,59,44,29,31,26,21,92,49,28,30.40,30.35,30.30,10,10,10,16,5,22,0.00,1,,82
2008-4-8,61,43,25,32,27,21,85,58,30,30.41,30.34,30.26,10,10,7,12,3,15,0.00,0,,177
2008-4-9,67,51,35,43,35,26,89,55,28,30.29,30.17,30.05,10,10,8,20,9,28,0.00,0,,199
2008-4-10,61,48,34,42,32,27,80,50,27,30.17,30.12,30.07,10,10,10,18,8,26,0.00,0,,308
2008-4-11,40,35,30,38,35,29,100,92,70,30.17,29.93,29.66,10,7,0,10,4,14,0.37,6,Fog-Rain,359
2008-4-12,66,53,39,53,41,35,100,84,40,29.73,29.56,29.47,10,6,2,23,9,33,0.58,6,Rain-Thunderstorm,264
2008-4-13,45,40,35,36,29,20,92,71,36,29.89,29.72,29.59,10,10,6,20,9,28,0.04,7,Rain,13
2008-4-14,51,39,27,26,22,13,92,53,21,30.12,29.99,29.88,10,10,10,18,6,23,0.00,4,,346
2008-4-15,58,40,22,26,21,14,88,55,17,30.23,30.17,30.12,10,10,10,13,3,17,0.00,0,,42
2008-4-16,66,45,24,31,23,13,92,52,13,30.33,30.23,30.16,10,10,10,15,4,18,0.00,0,,160
2008-4-17,77,53,29,38,29,21,92,51,13,30.22,30.11,29.99,10,10,10,7,1,9,0.00,0,,204
2008-4-18,78,57,35,40,35,32,92,51,20,30.06,30.01,29.96,10,10,10,6,3,7,0.00,0,,55
2008-4-19,82,60,38,43,37,30,82,44,20,30.06,30.00,29.92,10,10,10,16,4,22,0.00,0,,169
2008-4-20,76,57,38,41,37,30,86,44,21,30.24,30.14,30.07,10,10,10,16,5,22,0.00,0,,165
2008-4-21,77,58,39,46,40,37,92,54,25,30.33,30.27,30.21,10,10,10,10,2,14,0.00,0,,191
2008-4-22,78,60,41,42,35,18,82,44,17,30.31,30.22,30.13,10,10,10,7,4,10,0.00,0,,179
2008-4-23,80,65,49,51,46,41,83,51,27,30.18,30.09,29.99,10,10,10,18,6,24,T,1,,220
2008-4-24,69,53,37,50,35,19,85,50,16,30.22,30.17,30.04,10,10,10,20,8,28,0.00,1,,19
2008-4-25,73,53,32,43,34,29,100,52,20,30.21,30.11,30.00,10,10,10,12,2,16,0.00,1,,170
2008-4-26,68,60,52,43,39,35,59,46,35,30.13,30.08,30.02,10,10,10,18,9,29,0.01,4,,160
2008-4-27,66,57,47,47,44,38,93,68,48,30.22,30.16,30.10,10,10,8,10,5,15,0.07,4,Rain,187
2008-4-28,53,50,46,47,45,39,100,90,63,30.12,29.87,29.70,10,6,2,13,3,17,1.11,7,Rain,33
2008-4-29,50,44,37,46,40,26,100,81,46,29.88,29.72,29.67,10,7,2,20,8,29,0.43,6,Rain,330
2008-4-30,50,39,27,29,23,14,92,57,26,30.15,30.03,29.88,10,10,10,17,3,21,T,3,,312
2008-5-1,59,42,24,32,26,21,100,58,24,30.24,30.15,30.06,10,10,8,14,3,17,0.00,2,,99
2008-5-2,51,45,39,45,40,33,93,83,56,30.15,30.11,30.08,10,9,5,8,2,15,0.16,8,Rain,3
2008-5-3,53,49,45,48,45,41,93,89,71,30.13,30.07,29.99,10,6,2,12,3,15,0.21,8,Rain,156
2008-5-4,60,47,34,49,43,35,100,87,54,30.12,29.98,29.92,10,7,2,14,2,20,0.34,7,Rain,251
2008-5-5,65,47,29,42,36,29,100,73,39,30.15,30.08,29.98,10,8,1,13,2,15,0.00,0,,143
2008-5-6,74,54,33,44,35,26,100,70,18,30.02,29.97,29.87,10,7,0,18,5,25,0.00,0,Fog,245
2008-5-7,67,52,36,46,38,33,92,57,31,29.99,29.87,29.69,10,10,10,12,3,14,0.01,2,Rain,158
2008-5-8,73,58,43,55,45,36,86,58,25,29.83,29.63,29.55,10,10,9,21,8,28,T,3,Rain,254
2008-5-9,62,49,36,40,38,36,100,67,42,29.89,29.79,29.70,10,10,2,15,5,18,0.00,0,,39
2008-5-10,69,53,36,41,36,29,100,61,26,29.87,29.76,29.71,10,9,2,18,5,23,0.00,0,,20
2008-5-11,70,52,33,40,36,32,100,53,26,29.91,29.80,29.69,10,10,8,14,5,18,0.00,0,,139
2008-5-12,63,52,40,42,33,27,80,50,27,29.93,29.82,29.72,10,10,10,18,7,26,0.00,1,,49
2008-5-13,71,53,35,42,36,30,100,62,23,30.10,30.04,29.94,10,10,10,20,5,24,0.00,0,,41
2008-5-14,76,56,36,46,39,32,93,57,21,30.11,30.00,29.90,10,9,2,15,4,20,0.00,0,,185
2008-5-15,67,57,47,55,47,39,93,67,49,29.95,29.92,29.89,10,10,10,8,4,9,T,5,Rain,183
2008-5-16,60,52,43,44,40,32,93,67,35,29.94,29.79,29.61,10,10,10,10,2,20,0.00,3,,18
2008-5-17,73,56,38,52,45,36,100,76,31,29.59,29.45,29.35,10,7,1,22,6,32,0.07,3,Rain,205
2008-5-18,59,52,45,52,46,41,100,86,55,29.47,29.38,29.32,10,8,1,15,6,20,0.14,4,Rain,196
2008-5-19,52,46,39,45,35,30,92,64,44,29.59,29.42,29.34,10,10,8,23,11,35,T,6,Rain,231
2008-5-20,63,50,36,42,38,34,89,63,43,29.58,29.48,29.38,10,10,10,17,7,24,0.00,3,,191
2008-5-21,62,46,30,43,36,30,100,74,36,29.53,29.43,29.39,10,7,1,21,5,28,T,3,,213
2008-5-22,53,48,42,46,42,32,89,81,58,29.70,29.58,29.53,10,8,3,10,3,13,0.17,7,Rain,208
2008-5-23,66,52,38,45,42,37,100,70,40,29.91,29.80,29.69,10,9,2,23,8,32,0.01,3,,317
2008-5-24,67,52,37,45,39,33,100,65,29,30.00,29.93,29.90,10,9,0,18,6,28,0.00,3,Fog,337
2008-5-25,75,56,36,43,39,33,93,58,27,30.12,30.03,29.95,10,9,1,18,4,26,0.00,0,,185
2008-5-26,82,62,41,59,48,39,93,59,33,29.96,29.82,29.69,10,10,10,20,8,28,T,2,,193
2008-5-27,79,60,40,63,53,37,100,76,47,30.09,29.82,29.71,10,7,0,22,6,31,0.02,2,Fog-Rain,277
2008-5-28,67,51,34,37,31,25,92,50,22,30.27,30.18,30.11,10,10,10,16,5,22,0.00,0,,337
2008-5-29,77,56,34,39,35,32,92,50,21,30.17,30.05,29.93,10,10,9,21,7,28,0.00,0,,225
2008-5-30,75,59,42,52,43,38,89,55,31,30.14,30.04,29.90,10,10,8,13,3,16,0.00,1,,131
2008-5-31,73,64,54,67,60,50,96,84,67,29.88,29.64,29.54,10,6,1,17,6,23,0.24,4,Rain,201
2008-6-1,68,60,52,59,52,46,100,81,48,29.81,29.69,29.64,10,6,0,9,7,12,0.00,6,Fog,232
2008-6-2,79,64,49,51,48,42,89,58,28,29.90,29.83,29.80,10,10,10,16,4,22,0.00,3,,247
2008-6-3,76,60,44,56,50,45,100,76,43,29.94,29.90,29.86,10,9,2,10,4,16,T,2,,26
2008-6-4,66,60,54,59,56,54,93,87,73,29.92,29.86,29.83,10,7,2,10,4,13,0.04,7,Rain,41
2008-6-5,72,66,60,57,55,53,84,70,61,30.11,30.03,29.92,10,10,10,9,4,13,0.02,8,,68
2008-6-6,70,65,59,64,60,57,100,92,78,30.11,30.08,30.03,10,6,0,13,4,20,0.61,8,Fog-Rain,192
2008-6-7,92,76,59,73,62,56,100,87,36,30.06,30.00,29.87,10,4,0,20,6,30,0.00,4,Fog,206
2008-6-8,91,75,58,70,65,58,100,74,44,29.92,29.83,29.73,10,8,2,16,5,22,0.00,0,,229
2008-6-9,95,82,68,72,68,64,97,67,38,29.83,29.79,29.75,10,9,5,14,4,20,0.00,1,,228
2008-6-10,94,81,67,73,68,64,97,77,38,29.89,29.82,29.70,10,8,0,25,6,38,0.15,3,Fog-Rain-Thunderstorm,189
2008-6-11,82,69,55,66,55,49,100,64,34,30.09,30.00,29.90,10,9,2,18,6,25,0.00,1,,265
2008-6-12,75,60,45,53,46,32,86,58,25,30.29,30.24,30.10,10,10,10,14,6,20,0.00,0,,41
2008-6-13,82,64,46,61,51,42,93,63,37,30.30,30.20,30.07,10,10,10,10,2,14,0.00,0,,180
2008-6-14,86,73,59,70,65,57,97,79,51,30.05,29.91,29.82,10,7,2,17,2,26,0.19,4,Rain-Thunderstorm,165
2008-6-15,83,72,60,68,63,50,100,83,34,29.86,29.81,29.73,10,6,0,12,3,16,0.00,4,Fog,11
2008-6-16,78,69,59,62,59,56,93,75,56,29.76,29.73,29.66,10,9,4,12,8,18,T,1,,182
2008-6-17,71,61,51,57,51,43,100,71,40,29.73,29.70,29.68,10,10,7,16,6,24,0.00,4,,216
2008-6-18,64,55,46,55,50,43,100,82,67,29.79,29.73,29.71,10,10,9,3,3,3,0.02,5,Rain,163
2008-6-19,70,57,46,54,51,46,100,87,49,29.93,29.83,29.78,10,5,0,9,2,,0.02,6,Fog-Rain,199
2008-6-20,73,62,50,55,53,48,100,84,57,30.00,29.96,29.93,10,8,2,10,3,14,T,4,Rain,205
2008-6-21,81,65,48,59,54,48,100,80,42,30.06,30.01,29.96,10,7,0,2,4,2,0.00,3,Fog-Thunderstorm,105
2008-6-22,76,67,57,64,61,57,100,91,69,29.98,29.94,29.88,10,5,0,5,3,5,0.28,5,Fog-Rain-Thunderstorm,177
2008-6-23,78,68,59,64,61,54,100,90,48,29.98,29.93,29.85,10,5,1,10,2,,0.16,6,Rain-Thunderstorm,161
2008-6-24,74,63,51,63,57,54,100,88,57,30.11,29.98,29.93,10,4,0,13,2,16,0.24,3,Fog-Rain-Thunderstorm,307
2008-6-25,81,65,48,61,51,48,100,81,33,30.17,30.10,29.99,10,6,0,14,4,20,0.00,0,Fog,221
2008-6-26,71,62,52,66,60,52,100,93,84,29.97,29.87,29.77,10,4,0,9,3,12,0.13,4,Fog-Rain,184
2008-6-27,83,72,61,68,65,61,100,87,58,29.84,29.80,29.77,10,5,0,15,4,17,T,2,Fog-Thunderstorm,194
2008-6-28,86,73,60,72,67,60,100,91,55,29.85,29.79,29.70,10,3,0,23,3,30,1.27,6,Fog-Rain-Thunderstorm,195
2008-6-29,83,75,66,72,68,64,100,89,55,29.80,29.74,29.67,10,5,0,15,6,21,0.08,4,Fog-Rain,197
2008-6-30,81,70,59,66,60,51,93,73,39,29.78,29.71,29.66,10,9,2,17,5,21,T,4,Rain,203
2008-7-1,77,67,57,64,61,56,100,85,57,29.94,29.88,29.78,10,7,1,14,2,15,0.11,3,Rain-Thunderstorm,37
2008-7-2,82,67,52,60,55,47,100,82,30,29.99,29.94,29.86,10,6,0,14,3,18,0.00,0,Fog,214
2008-7-3,77,67,56,65,60,55,100,80,61,30.01,29.89,29.84,10,9,5,18,6,28,0.02,3,Rain,190
2008-7-4,77,63,49,57,53,48,100,82,41,30.09,30.04,29.99,10,6,0,10,2,13,0.00,0,Fog,29
2008-7-5,80,65,49,64,56,48,100,85,39,30.05,30.03,29.99,10,6,1,9,2,14,0.00,0,,175
2008-7-6,84,70,55,66,60,53,100,87,37,30.09,30.05,30.00,10,4,0,14,4,29,0.00,3,Fog,181
2008-7-7,87,74,60,70,64,60,100,86,51,30.07,30.03,29.94,9,4,0,15,5,20,0.00,2,Fog,197
2008-7-8,88,75,62,72,67,62,100,87,55,29.97,29.90,29.78,9,4,0,18,5,25,0.02,0,Fog-Rain,200
2008-7-9,84,77,69,73,69,68,97,81,61,29.78,29.73,29.65,10,6,1,15,6,22,0.01,2,Rain-Thunderstorm,207
2008-7-10,80,67,54,67,53,51,79,56,36,30.03,29.90,29.74,10,10,7,21,6,25,0.00,2,,271
2008-7-11,73,62,51,61,57,51,100,80,61,30.12,30.08,30.02,10,9,2,8,2,12,T,3,,156
2008-7-12,87,72,56,67,61,55,100,78,48,30.12,30.06,29.93,10,8,0,16,6,21,0.00,2,Fog,172
2008-7-13,80,74,67,67,65,59,93,83,62,29.91,29.77,29.67,10,6,2,21,8,28,1.44,7,Rain-Thunderstorm,192
2008-7-14,78,68,57,67,63,53,100,86,49,29.94,29.77,29.72,10,6,1,16,5,22,T,5,Rain,207
2008-7-15,81,67,53,60,54,52,100,80,42,30.13,30.02,29.94,10,7,0,14,4,17,0.00,1,Fog,216
2008-7-16,84,67,50,65,56,50,100,83,44,30.18,30.13,30.06,10,6,0,14,4,18,0.00,0,Fog,199
2008-7-17,83,70,57,66,61,57,100,85,43,30.16,30.10,30.04,10,6,0,9,2,12,0.00,0,Fog,186
2008-7-18,89,75,60,72,65,59,100,84,50,30.03,29.99,29.91,10,6,2,15,4,24,0.00,0,,202
2008-7-19,89,78,66,73,68,64,97,79,46,29.94,29.91,29.87,10,6,1,24,5,28,0.27,2,Rain-Thunderstorm,218
2008-7-20,77,72,67,72,69,66,100,96,87,29.94,29.86,29.77,8,3,2,9,3,12,0.24,4,Rain-Thunderstorm,100
2008-7-21,77,70,62,70,66,64,100,90,69,29.87,29.83,29.79,10,8,2,7,2,9,0.07,6,Rain,26
2008-7-22,81,69,57,70,62,57,100,94,58,29.95,29.89,29.86,10,5,0,14,3,17,0.04,1,Fog-Rain,177
2008-7-23,71,66,60,70,66,60,100,99,93,30.01,29.97,29.92,10,5,0,13,3,17,2.60,7,Fog-Rain-Thunderstorm,66
2008-7-24,77,68,59,68,65,60,100,93,79,30.00,29.93,29.87,10,7,0,21,3,32,0.97,5,Fog-Rain-Thunderstorm,154
2008-7-25,82,70,57,63,60,56,100,77,42,30.11,30.06,30.01,10,10,4,13,5,18,0.00,2,,202
2008-7-26,83,69,54,69,60,54,100,92,51,30.05,29.95,29.80,10,5,0,21,6,32,0.61,2,Fog-Rain-Thunderstorm,179
2008-7-27,79,70,61,68,64,61,100,92,69,29.83,29.80,29.74,10,7,2,12,6,17,0.04,4,Rain,179
2008-7-28,80,71,62,64,62,60,100,84,51,29.85,29.81,29.79,10,8,2,14,6,18,0.00,4,,202
2008-7-29,83,71,59,65,61,58,100,83,43,29.90,29.86,29.83,10,7,0,9,2,13,0.00,1,Fog,180
2008-7-30,79,68,57,66,61,57,100,84,54,29.89,29.81,29.67,10,9,1,12,2,16,0.00,0,,177
2008-7-31,83,72,61,70,64,60,100,83,51,29.67,29.61,29.55,10,8,4,15,4,21,0.00,3,,238
2008-8-1,81,69,56,67,61,55,100,89,58,29.72,29.67,29.64,10,6,0,10,2,14,0.00,1,Fog,165
2008-8-2,74,65,56,67,62,55,100,92,73,29.76,29.72,29.69,10,6,0,9,1,12,T,3,Fog,236
2008-8-3,76,68,59,67,63,61,100,94,68,29.86,29.80,29.75,10,5,0,17,2,24,0.55,6,Fog-Rain,29
2008-8-4,80,67,54,66,60,55,100,93,54,29.96,29.89,29.85,10,5,0,17,3,24,0.01,3,Fog-Rain,40
2008-8-5,81,69,57,68,62,57,100,90,54,30.00,29.96,29.87,10,7,1,8,2,9,0.00,4,,137
2008-8-6,81,71,61,70,67,61,100,91,54,29.86,29.76,29.70,10,7,1,15,4,17,0.78,6,Rain-Thunderstorm,184
2008-8-7,76,67,58,65,62,57,100,91,73,29.78,29.73,29.68,10,7,0,15,3,22,0.62,3,Fog-Rain-Thunderstorm,186
2008-8-8,72,65,57,63,60,57,100,91,68,29.70,29.68,29.64,10,7,0,9,2,12,0.01,5,Fog-Rain-Thunderstorm,290
